type,n,threshold,usec
reverse,1900,0,405.2
reverse,2000,0,424.2
reverse,2100,0,451.6
reverse,2200,0,477.2
reverse,2300,0,505.2
reverse,2400,0,532.2
reverse,2500,0,547.2
reverse,2600,0,573.8
reverse,2700,0,589.6
reverse,2800,0,622.8
reverse,2900,0,647.4
reverse,3000,0,665
reverse,3100,0,693
reverse,3200,0,719.2
reverse,3300,0,749.4
reverse,3400,0,771
reverse,3500,0,797.6
reverse,3600,0,819
reverse,3700,0,843.4
reverse,3800,0,871.4
reverse,3900,0,890.4
reverse,4000,0,905
reverse,4100,0,925.6
reverse,4200,0,960.6
reverse,4300,0,999
reverse,4400,0,1015.4
reverse,4500,0,1045.8
reverse,4600,0,1066.8
reverse,4700,0,1093.8
reverse,4800,0,1117.8
reverse,4900,0,1139
reverse,5000,0,1165.4
reverse,5100,0,1177.8
reverse,5200,0,1210.4
reverse,5300,0,1237
reverse,5400,0,1260
reverse,5500,0,1291.8
reverse,5600,0,1312.4
reverse,5700,0,1340.8
reverse,5800,0,1364.4
reverse,5900,0,1386.4
reverse,6000,0,1403.8
reverse,6100,0,1430.6
reverse,6200,0,1460.2
reverse,6300,0,1487
reverse,6400,0,1521.8
reverse,6500,0,1544.8
reverse,6600,0,1575.2
reverse,6700,0,1596.6
reverse,6800,0,1623.2
reverse,6900,0,1654.6
reverse,7000,0,1682
reverse,7100,0,1706.2
reverse,7200,0,1733.4
reverse,7300,0,1758.8
reverse,7400,0,1779.4
reverse,7500,0,1809.6
reverse,7600,0,1823.6
reverse,7700,0,1846.4
reverse,7800,0,1868.2
reverse,7900,0,1897.8
reverse,8000,0,1911.8
reverse,8100,0,1933.6
reverse,8200,0,1955
reverse,8300,0,1987
reverse,8400,0,2029.4
reverse,8500,0,2056.4
reverse,8600,0,2086.4
reverse,8700,0,2119.2
reverse,8800,0,2144.2
reverse,8900,0,2181
reverse,9000,0,2204.8
reverse,9100,0,2231.6
reverse,9200,0,2263.4
reverse,9300,0,2283.6
reverse,9400,0,2311.2
reverse,9500,0,2331.6
reverse,9600,0,2358.4
reverse,9700,0,2379.6
reverse,9800,0,2407
reverse,9900,0,2429.2
reverse,10000,0,2461.8
reverse,10100,0,2470.8
reverse,10200,0,2486.4
reverse,10300,0,2517
reverse,10400,0,2548.6
reverse,10500,0,2576.4
reverse,10600,0,2605.8
reverse,10700,0,2632.6
reverse,10800,0,2669
reverse,10900,0,2693
reverse,11000,0,2720.6
reverse,11100,0,2749.4
reverse,11200,0,2775.8
reverse,11300,0,2796.4
reverse,11400,0,2824.2
reverse,11500,0,2855.4
reverse,11600,0,2877
reverse,11700,0,2906.8
reverse,11800,0,2920.6
reverse,11900,0,2951.8
reverse,12000,0,2967.4
reverse,12100,0,2994.6
reverse,12200,0,3020
reverse,12300,0,3053
reverse,12400,0,3075.4
reverse,12500,0,3111
reverse,12600,0,3146.6
reverse,12700,0,3178
reverse,12800,0,3202.8
reverse,12900,0,3251.2
reverse,13000,0,3266.2
reverse,13100,0,3283.2
reverse,13200,0,3318.6
reverse,13300,0,3340.4
reverse,13400,0,3374.4
reverse,13500,0,3416.8
reverse,13600,0,3424
reverse,13700,0,3452.6
reverse,13800,0,3479
reverse,13900,0,3513.4
reverse,14000,0,3535.8
reverse,14100,0,3568.2
reverse,14200,0,3592.4
reverse,14300,0,3623
reverse,14400,0,3644.8
reverse,14500,0,3683.2
reverse,14600,0,3701.6
reverse,14700,0,3728.2
reverse,14800,0,3747.8
reverse,14900,0,3778.4
reverse,15000,0,3803.4
reverse,15100,0,3820.6
reverse,15200,0,3842
reverse,15300,0,3903
reverse,15400,0,3894.4
reverse,15500,0,3910.4
reverse,15600,0,3946
reverse,15700,0,3975.6
reverse,15800,0,3993.2
reverse,15900,0,4037
reverse,16000,0,4031.4
reverse,16100,0,4050.6
reverse,16200,0,4073.2
reverse,16300,0,4101
reverse,16400,0,4120.4
reverse,16500,0,4169
reverse,16600,0,4194.6
reverse,16700,0,4236.6
reverse,16800,0,4273.6
reverse,16900,0,4305.2
reverse,17000,0,4344
reverse,17100,0,4387
reverse,17200,0,4417.8
reverse,17300,0,4431
reverse,17400,0,4453.2
reverse,17500,0,4487.4
reverse,17600,0,4521.2
reverse,17700,0,4557.8
reverse,17800,0,4587
reverse,17900,0,4617.4
reverse,18000,0,4640.2
reverse,18100,0,4677.6
reverse,18200,0,4707.6
reverse,18300,0,4736.8
reverse,18400,0,4767.8
reverse,18500,0,4795.6
