type,n,threshold,usec
random,99100,5,30753.8
random,99200,5,30694.8
random,99300,5,30667.8
random,99400,5,30583
random,99500,5,30594.2
random,99600,5,30616.6
random,99700,5,30670.6
random,99800,5,30679.4
random,99900,5,30727.4
random,100000,5,30723.4
random,500,10,74.8
random,600,10,88
random,700,10,113.4
random,800,10,131.2
random,900,10,151.2
random,1000,10,165.4
random,1100,10,183.8
random,1200,10,198.2
random,1300,10,220.8
random,1400,10,256.6
random,1500,10,272.8
random,1600,10,290.8
random,1700,10,315.2
random,1800,10,327.8
random,1900,10,346.6
random,2000,10,370
random,2100,10,388.8
random,2200,10,409.8
random,2300,10,428.6
random,2400,10,446
random,2500,10,466.8
random,2600,10,492.6
random,2700,10,527.4
random,2800,10,558.4
random,2900,10,582.6
random,3000,10,608.6
random,3100,10,618.6
random,3200,10,644
random,3300,10,670.4
random,3400,10,715.4
random,3500,10,746.2
random,3600,10,781.8
random,3700,10,716.6
random,3800,10,803.6
random,3900,10,821.8
random,4000,10,923.6
random,4100,10,811
random,4200,10,926
random,4300,10,876.6
random,4400,10,963.8
random,4500,10,968.8
random,4600,10,1018.8
random,4700,10,1004.8
random,4800,10,1029.8
random,4900,10,1071
random,5000,10,1084.2
random,5100,10,1107.2
random,5200,10,1168.4
random,5300,10,1216.4
random,5400,10,1237
random,5500,10,1280.2
random,5600,10,1308.6
random,5700,10,1321
random,5800,10,1367.6
random,5900,10,1348
random,6000,10,1419.2
random,6100,10,1446.8
random,6200,10,1474.2
random,6300,10,1406
random,6400,10,1477.2
random,6500,10,1509.8
random,6600,10,1566.2
random,6700,10,1596.6
random,6800,10,1556.4
random,6900,10,1620.6
random,7000,10,1623.4
random,7100,10,1597.4
random,7200,10,1691
random,7300,10,1630.4
random,7400,10,1673.2
random,7500,10,1654.8
random,7600,10,1673.6
random,7700,10,1693.4
random,7800,10,1716.2
random,7900,10,1740.6
random,8000,10,1760.2
random,8100,10,1815.4
random,8200,10,1818.8
random,8300,10,1835
random,8400,10,1855.6
random,8500,10,1880.6
random,8600,10,1904.8
random,8700,10,1929.2
random,8800,10,1941.2
random,8900,10,1969.8
random,9000,10,1996.4
random,9100,10,2017.4
random,9200,10,2040.6
random,9300,10,2063.8
random,9400,10,2080.6
random,9500,10,2109
random,9600,10,2133.2
random,9700,10,2161.8
random,9800,10,2190.8
random,9900,10,2211
random,10000,10,2222.2
random,10100,10,2240
random,10200,10,2267
random,10300,10,2289.4
random,10400,10,2334.6
random,10500,10,2400
random,10600,10,2433.8
random,10700,10,2455.6
random,10800,10,2493.8
random,10900,10,2545
random,11000,10,2575.8
random,11100,10,2609.6
random,11200,10,2649.4
random,11300,10,2673.8
random,11400,10,2736.6
random,11500,10,2722.2
random,11600,10,2757.2
random,11700,10,2838.2
random,11800,10,2803.4
random,11900,10,2817.8
random,12000,10,2847.8
random,12100,10,2873.4
random,12200,10,2888.4
random,12300,10,2909.8
random,12400,10,2937.4
random,12500,10,2961.8
random,12600,10,2983
random,12700,10,3022.2
random,12800,10,3042.6
random,12900,10,3058
random,13000,10,3074.8
random,13100,10,3109
random,13200,10,3124.4
random,13300,10,3151.2
random,13400,10,3181.2
random,13500,10,3214.8
random,13600,10,3241.4
random,13700,10,3256.4
random,13800,10,3286
random,13900,10,3307
random,14000,10,3319
random,14100,10,3361.6
random,14200,10,3368.4
random,14300,10,3392.6
random,14400,10,3422.6
random,14500,10,3444.6
random,14600,10,3470.4
random,14700,10,3502.2
random,14800,10,3519.4
random,14900,10,3597
random,15000,10,3762.4
random,15100,10,3815.8
random,15200,10,3780.4
random,15300,10,3852.4
random,15400,10,3892.4
random,15500,10,3856.6
random,15600,10,3895.6
random,15700,10,3986.8
random,15800,10,4028.6
random,15900,10,4034.6
random,16000,10,4115
random,16100,10,4095
random,16200,10,3969.8
random,16300,10,4063.6
random,16400,10,3988.4
random,16500,10,4079.8
random,16600,10,4076.8
random,16700,10,4112.4
random,16800,10,4224
random,16900,10,4120.4
random,17000,10,4180.8
random,17100,10,4171.4
random,17200,10,4232.2
random,17300,10,4233.4
random,17400,10,4167.4
random,17500,10,4204
random,17600,10,4305.4
random,17700,10,4299.4
random,17800,10,4326.4
random,17900,10,4304.2
random,18000,10,4365.4
random,18100,10,4379.4
random,18200,10,4444.2
random,18300,10,4418.8
random,18400,10,4404.8
random,18500,10,4431
random,18600,10,4513.4
random,18700,10,4497.8
random,18800,10,4520.4
random,18900,10,4538.2
random,19000,10,4547.8
random,19100,10,4580.4
random,19200,10,4595.4
random,19300,10,4629
random,19400,10,4650.8
random,19500,10,4674.2
random,19600,10,4717.6
random,19700,10,4731.6
random,19800,10,4746
random,19900,10,4777.8
random,20000,10,4799.4
random,20100,10,4826.4
random,20200,10,4841.2
random,20300,10,4867.8
random,20400,10,4907.2
random,20500,10,4927.8
random,20600,10,4974.2
random,20700,10,5010.8
random,20800,10,5057.4
random,20900,10,5089.6
random,21000,10,5134.6
random,21100,10,5243.6
random,21200,10,5609.4
random,21300,10,5560.6
random,21400,10,5604.8
random,21500,10,5674.4
random,21600,10,5645.2
random,21700,10,5728.2
random,21800,10,5765.6
random,21900,10,5554.8
random,22000,10,5567.4
